text,rating,comment
F&@k Stanton!!! ðŸ–•ðŸ½,20,Succinct to the point and incredibly rude.
"I will not reveal my identity here but I have to state that you deserve what you are getting right now. As a younger man of age 14, 15, 16 and 17 in the 1980s, I was approached by men like you while they abused their positions of power as my employer in order to coerce me to have sex with them; when I did not relent they went so far as attempting to ram pens up my Rectum and surround me in semi-public areas and Gang-like atmosphere. Furthermore, I was approached by Gay Men/Pedophiles to make Gay/Pedophile Porn while still age 14, 15, 16 and 17. I am glad that you, Weinstein and the rest of you pieces of SHIT are being revealed for who you really are - this is the Hollywood of today. While it took me 20 to 35 years to reveal these facts, I am glad that I can share this with the General Public; I am relieved. People like you deserve to be castrated in Public...",30,Probably a lie but even if not not appropriate for a business message.
you make me want to SMDH and ask your mother why she didnâ€™t swallow,40,Not really toxic but not very professional
Building back better right Joey s#|t the pants?? ðŸ˜‚ðŸ˜‚ðŸ¤¡,20,Political ad hominem
He is definitely a maggot...,30,This sounds personal
"i love how he triggers these bitter and uninformed magats...even just the mention of his name. ðŸ˜‚ðŸ’–ðŸ¥³ðŸ¥‚~ these same people brushed off - justified - rationalized - minimized - ignored every crass, vulgar, immature, out-right lie that trump ever uttered.",15,Unwarrented and complete poisoning the well
This man wants to do the same thing with humans as heâ€™s doing to dogs torturing them get it through your fucking thick skulls America theyâ€™re liars donâ€™t listen to them if youâ€™re sick go talk to your doctor & listen to your body work out a couple times a week and eat more fiber and take your vitamins. ((do not to these politicians)) They want whatâ€™s best for them not us!!!,30,Unprofessional similes
"#Trumptards thugs getting maced and now yelling defund the police...
 No matter the douchebag Senators and House Reps that object, BIDEN WILL STILL BE PRESIDENT...
 Senate MINORITY Leader #BitchyMitchy Is somewhere crying in his car on his way in...
 And Georgia is now PURPLE my baby ðŸ™ŒðŸ½ðŸ’œðŸ™ŒðŸ½
 Today is already a good day, a whole lotta reaping what you cowards sowed is showing out today âœŠðŸ½ðŸ˜‚ðŸ‘ðŸ½",20,Reaping what you cowards sow is pretty face-invading
"nope that is n will always be the DUMP. There has never ever been a bigger lying, cheating, sneaking, thieving POS in that office.",30,Incoherent and ad hominem
Only the devil thrives on deathâ€¦.. his finest son is trumpâ€¦hitler was #1,25,"creative, religious driven ad hominem"
That's is why u aren't president any more Dumb as rocks.SDSTFU,10,"Directly insulting an individual, and the comment ends with an unnecessary expletive acronym"
Say what u will envious hateful small dicked fuckwads,12,Disregards another's opinion and includes name-calling that is specifically crafted to be extra toxic
Lying sob. White tribalist barbarism is what trumpty dumpty represents,25,Has their own opinion with unprofessional name-calling
GFY trump. Your a loser. Good bye to you and your minions.,15,"Acronyms of expletives, directly insulting an individual and groups of persons "
PEDOPHILE ! Hollywood BITCH,20,Intense language
"SHOVE THAT ""META-VERSE"" UP YOUR ASS, YOU TRANSHUMANIST PIECE OF SHIT! ZUCKERBURG'S PLAN TO REPLACE HIS PENCILDICK WITH A ""VIRTUAL"" DICK EXPOSED!",2,Vulgar insults and accusations with gross expletives
"#TFGloserâ€¼ï¸ #LoserTrump.
 #TrumpLiedPeopleDiedâ€¼ï¸
 #TrumpVirus.",40,Presentation of opinions through hashtags
"Me rollin out them ""GOOD"" jokes only to find a #libtard in the crowd! #rodeoclownshit #itwasfunnyfuker",40,Calling names through sarastic humor
Tell this to closeted straight boys who bend over for u then affirm their love for pussy.,10,Very rude generalization of homosexual men described in vulgar terms
"Shaun King or,
 Chalka Con
 Mos Theft
 Shaun Connery
 Harry BelaFundMe
 Scammy Davis
 W.E.B. DeFraud
 Alexander Scamilton
 Medgar Nevers
 Louis Fraud-a-con
 Thurgood Marshmallow
 Bet He White
 Alabaster Scamilton
 How it startedâ€¦. Where itâ€™s atâ€¦..",50,List of names
I hope lil nas x dies faggot.,10,Declaring desire for another person to die
â˜­ WHY DO #LIBERALS HATE #AMERICA? â˜¹ WHY DOES A #LIBERAL WORSHIP #COMMUNISM? â˜­ #LIBERALISM is a Severe Disease and Mental Illness â€“ Find a Cure - #Democrats #LiberalLogic #Leftists #LibTard #LiberalHypocrisy #JoeBiden - q-7391,10,Defaming a political group with gross understatements to their political agenda
Lies u fuck with people heads get the fuck out of he bitch,9,Poorly presented opinion held up only by expletives and defamation
Shut the absolute fuck up you stupid ass goddamn moron,4,Completely valueless command consisting of mainly expletives
blacks work?yeah right,10,Highly insulting racial comment presented with sarcastic affirmation
Canâ€™t wait to see you dressed in an orange jumpsuit,11,Rude insinuation that the speaker wishes their counterpart to go to jail
Fu stupidity,45,"Apparently defaming stupidity as an ideal, just not very professional"
FUCK YOU. FELADAPUTAS SA\FADOS. BANDIDOS RETRÃ“GRADOS. VTNC BANDO DE TRUMPISTAS VAGABUNDOS.,8,Using both Engligh and Portuguese expletives to defame a political group
What Presidential speech??? Does he not realize heâ€™s no longer the President? ðŸ¤£ And heâ€™s still taking peoples money! Idiots supporting a con man! #Trumptards,30,States the idiocy of a political group
Lmao This title fits perfectly with this fucken pedophile. Kevin spacey is nothing more than a walking hard on for little kids. Just like many other actors and artists fame finds a way of covering up their evil side. Cant wait till the truth comes out about this sick fuck.,25,Discussing sensitive topics surrounding both and individual and a group while defaming those parties
Gays: fucking without spirituality is as hollow as an ass without dick.,8,Slander against homosexuals
"Great picture Joe, are you going to sexual abuse someone from that room?",10,Saracastic insult insinuating another's tendencies to commit sexual crimes
lock him up and castorate him,7,Suggesting violent acts against another
Just ignore these constant attention seekers!!!pathetic and desperate!!!indulgent and entitled!!!fake and phoney!!!,35,A lot of negative adjectives
"Trumptards, If you had nothing against Trump abandoning our Kurdish allies to the mercy of Erdogan & Assad, then shut your hypocrite pie holes with your FAKE concern for the Afghan people & blaming Biden for carrying out Trump's withdrawal plan.",40,Presenting a valid opinion with some insults mixed in
"We should just call the current GOP what it really is ,,, The KKK. But I'm not sure how that is spelled in Russian.",10,Comparing modern political party to murderous racists cult
"sometimes, lib commie democrats cannot help themselves, they allways seem to want to prove just how stupid they really are!",40,Rude jeering at political party members
"Don't wanna take a ""poison"" vaccine created after a decade of research but by God gimme these deworming pills. #idiots #trumptards #antivaxxmorons",30,"Valid opinion, but unnecessary insults tagged on the end"
Die already so we can get the nation moving!!,15,Wishing for the death of another for the speaker's desired agenda
Jermaine these are the posts that have me in jailâ€¦. SMH I hate Sam White. I hate his mom for having him.,25,Insulting one's mother for having a child
"Biden lies, no doubt. But he's also demented, also no doubt. (I doubt he was ever alone with Francis; and it must have been an interesting experience for Francis, if he was.) So, on at least two counts, we cannot readily give credence to his rendition of Francis's words to him. (And notice how, in the clip, he answered the question with the tone and cadences of an elementary schooler.)",25,Slander and criticizing one's style of speech
"Why you ain't sign your fuckin' name, cupcake?!
 Don't play like you gonna do shit other than cry; step the fuck up and get fucked up
 Or sit the fuck down like you do when you pee
 Bitch",5,Highly insulting comments and slander with multiple offensive expletives
and fuck you if u donâ€™t like this,8,Direct expletive insult
He is like Trump the scum of humanity!,15,Calling someone the worst of all humankind
"These far left lunatics are miserable, angry failures at basic human interaction, so they seek to drag the entirety of society down with them, making even laughter off limits.
 Just think about that for a minute.",12,Dangerous well poisoning
Just KILL babies ya loonies,14,"Strawmanning of opposition's view, name calling"
These dudes are retarded. Lets go Brandon!,13,Straightforward use of an offensive slur and slogan
"Bill Gates is helping Monsanto to poison the Indian farmers and cause them to have birth defects so he can get control of their lands. Bill Gates lied to the Indian people.
 https://www.youtube.com/watch?v=nxhCpLzreCw",38,"Presented professionally, but the well is being poisoned "
"Bro youâ€™re lame AFâ€” youâ€™re so condescending, use way too many red herrings, and dismiss peopleâ€™s lived experience for your subjective preference and subjective understanding. 
 
 Lastly, you spew argumentum ad passiones. Itâ€™s sad to see you being bully turned you into a dismissive arguer
 
 Dare you to reply",34,"slightly unprofessional refutation, but clearly articulates opinion in a mainly respectful way"
"Taiwan is not a nation, it's a rebel province of Peopleâ€™s Republic of China. This woman is not a president, she is a fake-governor. And she's PhD degree is fake. She is a fake person with stupid voters. Keywords: FAKE . US is not a legitimate nation. It is a collection of states conquered by the evil capitalists and their agent politicians. Vice President of America said: â€œfor years there were wars fought over oil. â€œ CNN: â€œno, it's not for oil, it's for freedom and democracyï¼â€",17,Attacks on two seperate nations on controversial grounds
"The people see through these phony, corrupt, lying, scheming democrats. Terry is reduced to having every lame lying big name liberal campaign for him. Not to mention, heâ€™s planting racist, pulling stunts around the Youngkin campaign bus to deliberately mislead the voters! Heâ€™s a lying racist pig.",18,Articulate political accusation
OH HELL NO BRING ON THE NUREMBERG TRIALS arrest all these mass serial murderers !!!,19,Equating target group with mass murder and Nazism
"Letâ€™s just bow down to the person who censored it all for the young viewers. Maybe the personâ€™s soul rest in peace and honestly, fuck logan paul.",32,"Although well founded and with good intentions, the language is unprofessional"
Youâ€™re so full of shitâ€¦..and food.,31,"Not extremely coherent, vulgarity is softened by meaninglessness"
DISGUSTING! You made a whole movie for pedophiles.. Good job Netflix.. you sick fckrs,17,"Accusing a company of pedophilia, unprofessional language"
"THIS FOOL IS A LIFETIME
 FAILURE. PUT HIM OUT 
 OF HIS SENILE MISERY
 L O O S E R....SHAME ON
 THE VOTERS THEY HAVE
 BLOOD ON THEIR.HANDS",7,Encouraging killing of a public figure and accusing a majority of the country's voting body
"Jeeze, sheâ€™s got some double pink eye going onâ€¦she needs to lay off the sh*t play.",8,"Very unprofessional, assuming another's sexual conduct"
Democrats and Catholics working together. Imagine how many kids are going to get touched.,16,Mass-accusation of pedophila to two major population segments
F them all,31,Lack of context frees this from a target of negativity. Still unprofessional
There alll sluts..... I like this dude .....,26,"Incoherent, unprofessional"
"It's absolutly amazing. Harris is everything. Black, white, Indian, Mexican, ect. What a disgusting fraud",18,Racist comment driven by political anger
Guns don't kill people....Alec Baldwin does.,32,Joke twisting political rhetoric. Unprofessional irrespective of how funny
I am asking you in a very educated manner bitch get out of the fucking car,21,Pointed and targeted vulgarity 
"Just go away, Joe. Letâ€™s go Brandon!",29,Mainly professional with the exception of the rude slogan at the end
TRUMPS ALL EAT BABIES..,15,"Unhinged, barely coherent generalization of an entire population segment"
"Garland's term will be short lived. When both houses of Congress go red in the mid terms, many heads will roll. Starting with impeaching biden, harris and pelosi #BuckJoeFiden #PuckNancyFelosi",17,Vulgar and alluding to death via political allegory
I f*@king knew that he'd be back. Ain't no way he ever left Nick. Both of these a**hats have been f*@king with us for a long time.,18,Vulgarity and anger 
"Chomsky is completely irrelevant now. And yes, probably demented like creepy Joe. Lets Go Brandon!!",24,"Unprofessional attacks on two public figures, followed by an unprofessional and rude slogan"
Bitch looks like prince Zuko from Avatar the last airbender.,28,"Most likely making an offensive comment based off of a burn or birth defect. This has an unintended consequence, as Prince Zuko is a good-looking guy"
" Amazing Humans????Not in my book( Pun intended) this is terrible,you do NOT confuse infants that ""Drag Queens"" are the norm, absolutely sickening that these people are allowed to do this kind of propaganda to infants and children!!",22,Transphobic comment driven by religious anger
Whenever Ted Cruz talks I just think he must be the devil. He is such a low class piece of ðŸ’©,22,Unprofessional attack on an individual for appearance/speaking patterns
How do you disperse a BLM crowd? Job applications,23,Attempt at humor targeting a minority group
They gave that murderer of babies communion? Heâ€™s pathetic and he canâ€™t answer questions.,17,Aggressive equating of abortion to murder and religious ad hominem
I didn't vote for this clown he's not my president let's go Brandon!!,19,"Rejection of democratic process, unprofessional slogan"
Wtf is Joe Biden still president he needs impeached he is worthless and he committed treason,20,"Even if true, unprofessional way to express those thoughts"
Michelle Obama has to be trans,16,Transphobic comment most likely driven by political anger
Im collecting BLM flags/merch for a bonfire live stream. Gonna burn it all,15,Hateful action against a group whose stated objective is anti-racist
Throw the miserable S.O.B in prison for a few years.,18,"Crude, wanting to put someone in prison"
CNN. Total scum....may you all pay with your lives,9,Wishing death on all consumers of a specific media channel
"Thatâ€™s Democrats for you, criminals get treated like heroes and victims get treated like criminals",27,"Overgeneralization of half a nation, but not too rude"
"Never get too attached, yeah, they all sluts",18,Likely reduction of all people in a group to a sex-based slur
He deserves 1000 lashes.,17,Call for punishment with potential racist motivation
"Liars. When you live in it you know. It's an Acoustical radiation weapon. It is killing my whole family! You are complicit in crimes agaisnt humanity, you will face Nuremberg Code violation and charged. You will all lose your heads.",13,Well-articulated accusation of crimes against humanity/war crimes. 
Kamala is trash like the rest of democrat politicians that are trying to destroy our country. We are on to your lies and are fighting back for our freedom.,21,"Rude overstatement, implication of violence"
"Alec shut the F up
 The more you talk the dipper you dig your grave.",28,"Although unprofessional, feels cautionary rather than threatening"
I want to see Karenâ€™s getting the sh t kicked out of them,12,Desiring violence against women perceived as rude
"INSULTING AND UNAMERICAN!
 GET YOUR FILTHY DISGUSTING DEMOCRAT PAWS OFF MY WALLET!",16,Weirdly agressive and unprofessional
"you forgot ""illogical lying"" heartless monster. but you could also add blue lips and big ears. People in Utah call his ""monument"" the Obama's ears monument.",19,"Regardless of veracity, aggressive formatting and potential racist tilt "
The people that clapped for her should be shot,13,Call for violence/death against all with a specific opinion
420 okay È á»ˆá€Œá€Œá•¦Ðƒ,45,Incoherent
If he would drop Dead he would get a better rating just a thought.Let's go Brandon,16,"Coherent, hopeful statement on a public official's death followed by a toxic slogan"
Everyone in this comment section dumb af lol including the ones defending the vaccine,19,Antagonizing all participants in the conversation
POTATO ðŸ¥” JOE DOING WHAT HE DOES BEST. RUNS AWAY FROM EVERYTHING. FROM QUESTIONS TO THE MIDDLE EAST. BUT DOSENT RUN WHEN HE SHITS HIS PANTS WITH THE POPE. TOTAL DOOFUS,20,"Even if true, unprofessional way to express those thoughts"
"Zed, why is it illegal to punch these freaks? Can we please try and pass a law where beating these fools is an acceptable part of my Mondayâ€™s. Let me know in the comments.",15,Requesting legal jurisdiction to commit acts of violence on a specific group
We need religion tho...to control the dumbfucks and the poors. Otherwise they'd go apeshit.,20,Not a novel opinion. Stated rudely and with vulgarity
Fucking people are nuts. That's nearly as bad as rape. What the fuck is wrong with people and why is America turning into a stockpot of shitheads?,10,Reduction of sexual violence and attacking an entire nation's character
"By now the Americans knew that the roots cause for all failures and disasters are cause by Joe Biden and his administration. Execute them all at 3:00 am , just like Joe Biden left Afghanistan and no one would know they are gone!!!!",5,Call for mass executions of public officials based on fallacious blanket accusations
For fentanyl floyed,40,Potential attempt at misinformation. Close to neutral due to incoherence and meaninglessness
Attack only Chinese not other Asians,5,Inciting violence against specific racial group
ILLEGALS ARE COMING FROM THE NORTH DUMBASS DO YOUR FUCKIN HOME WORK TRUMP LIARS,20,Rude/Sarcastic. Vulgar accusation of ignorance
Iâ€™m going to call bullshit on that thing being raped 1 time - let alone 4.,6,"Coherent, disgusting thing to say about sexual violence"
"Theyâ€™re shallots, actually",80,"Nice, professional correction. Could do without the actually."
me thinking in my head: mmm pizzaaaa...,60,Loving pizza is pretty close to neutral
I have never seen a dice hammer that is so fucking cool I definitely need one,70,Would be completely professional and encouraging without the profanity
"Got a question for you guys out there: did revan always hold hit lightsaber like that?
 
 
 
 I was rather young when kotor first came out but if I remember correctly it became only a thing after the force unleashed dropped.",50,Completely neutral
This subâ€™s notorious for it. It might be the most toxic sub Iâ€™ve ever seen..I got 7 downvotes for saying Denzel Curry was my favorite rapper at this moment. Like I didnâ€™t know that meant Eminem couldnâ€™t be your favorite lmao,60,"Barely not neutral, calling out negativity isn't negative, but way too passive aggressive."
Are results from grand Swiss not factored?,80,Questions are generally professional
"> The difference in average earnings between men and women can be explained by taking into account relevant factors.

So it isn't a myth, you just feel that you can explain it.",88,Clarification is professional
"The myth is that the ""gap"" is entirely based on the sex of the  person. ",55,"Touchy subject, but handled in a neutral way, even if they're wrong."
"The assertion is that women get paid less for the *same* jobs, and that they get paid less *because* they are women. ",93,Clarification is professional
"You said in the OP that's not what they're measuring. They're measuring aggregate. 

As entertainers, women make less. Isn't that what JLaw was complaining about?",88,"Leading question, but overall non-toxic"
">Men and women are not payed less for the same job

I don't think many people say this is the case though. I think this is a misconception on the other side, not something feminists have said. Even if women have a lower ""average"" wage in all jobs than men... I mean that's even bigger than individual cases. This shows that women are in an inferior position *more* than if a woman were to get literally 30 cents less. Because averages show the bigger picture.

Edit: Changed 70 to 30.",76,"Touchy subject, but professionally explained"
"> All the wage gap is, is an average of total men's pay vs total women's pay. If you believe that's all it is, then sure.

So you admit it exists?

>When people refer to the pay gap, that ^ is what they are referring to most of the time.

I'd say most of the time people think they're talking about discrimination, which is only true if they actually say it's about discrimination.

This is essentially critics that are assuming they are saying something other than what they are saying.",48,"Directly confrontational, and unhelpful, but not rude"
"No, the point is they aren't talking about discrimination here.",94,Succint clarification
So women are paid less for the same job?,7,Loaded question that seems to anticipate negative response
"But obviously that doesn't make sense, does it? That women just don't want to earn more money. That conflicts with what we know about humankind. People, men and women both, generally do want to make money and generally aren't okay with being given less than other people are given. Women are a whole aren't just less interested in money than men are. Something must be going on.",50,"Depending on the gender of the writer and recipient, this could be toxic or not."
"I think that Hollywood and professional sports are a big exception here, because salaries in those two industries have virtually no cap (and often aren't tied to the quality of work or quantity of work at all - they're about subjective ""star power"")",20,Wording and tone appear aggressive.
"> I don't think many people say this is the case though. I think this is a misconception on the other side, not something feminists have said.

President Obama and Hilary Clinton say this *all* the time - every time they mention the discrepancy in earnings, it is *always* ""women deserve equal pay for equal work"".",24,Words like all and always with politically charged language
"I don't think they're any different. They are the truest form of perceived value and scarcity of skill. 

It's the difference between the WNBA and NBA. 

There are many factors that could keep wages low for a woman. 

For instance, my wife took maternity leave for 6 weeks and her boss would hound her about missing our son or what her future plans were with our son. Her boss never asked if I were going to take time off, etc. the supposition was my wife was going to quit. My wife chose not to and after a year her boss finally let up. 

But if my wife did quit, somehow then that would be used to say WOMEN keep wages low themselves ignoring that women are often the go to for child rearing. ",34,Language is slightly chared
"> Women are a whole aren't just less interested in money than men are.

Source?

Mine is only anecdotal, but in my experience, factors *other than money* - schedules, flexibility, time off, work condition, work enjoyability, etc. - are much more important to women than they are to men.",84,"Generalizations, but admittedly so."
"The gist of my post was ""does it make sense to you? It conflicts with what we think/know of humankind."" So no source for that train of thought.",52,Nothing in language to provide much context on previous conversation's toxicity
"Biological differences cannot explain the trends we've seen in CS. Until about 1985, female enrollment in CS tracked up alongside other technical fields. Then it suddenly reversed and dropped dramatically. 

If the difference is biology, then what is going on here? Either there has been a dramatic change in women's biology since 1985 or there has been a dramatic change in CS (but not other technical fields) since 1985 that has not matched women's biology. Both of those are really suspect ideas, IMO.",88,Sets up a strawman argument and has a hint of sarcasm
"> It's the difference between the WNBA and NBA.

I'm not saying this isn't another can of worms entirely, but I've heard that this is primarily because the skill level of the players is not the same, the games are less exciting, and the stakes are lower. That feeds back on itself.",95,Comments use some primary facts and other opinions to draw generalizations without distinquishing them.
">The fact of the matter is, unless you want to strip young women of agency, and force them into high paying fields, and restrict them from having a family, there really is nothing that can be done about this difference in average earnings. Mainly, because it isn't a problem. There is no discrimination involved.

That isn't true. There is another way to reduce the differnce. Instead of stripping the agency of young women away, you could strip the agency of young men away. You could force them into low paying fields, and force them to take extra time off work whenever a female coworker has a kid.",24,Comments are sarcastic
"Well, if your wife quit in order to be a full time mother, doesn't that exactly mean that she chose to make less and therefore bring down the aggregate wage of all women? You have repeated the fact that women are generally the go to for child rearing but I don't see how that is relevant. You are free to quit your job and be a stay at home dad and let your wife continue her career. There is no inherent reason women should continue to be the primary caregivers and I don't see why any parent should be given special consideration by an employer and paid more or offered promotions just because they had kids and chose to spend less effort and time on work. ",90,Sarcastic tone and agreesive toward real-world experiences
Women have not spent years being told that their value as human beings is tied to the money they bring in. It would honestly surprise me a lot if women cared as much about pay as men do.,11,Comment is more of a musing
"Doesn't it also mean the husband choose for his wife to earn less? If a husband and wife want a stay at home parent and decide together in mutual agreement for the wife to quit her job, then the choice for the woman to earn less rests equally on both man and woman in that situation. So we can't just say it's all women making these choices; men contribute to the choices as well.",11,"Point made without emotional charged language, although idea might be charged"
"So you do believe socialization plays a huge role in people's choices, and you do acknowledge that in the past women weren't socialized to be as career focused as men, so it seems to me like  you'd understand how the explanations of why the wage gap exists are not justifications and that it stems from outdated gender roles conditioning that should be eradicated.",50,Difficult to understand the tone or context surrounding this comment. Could be very toxic or in agreement with something the other party previously said
"Absolutely. But ""socialization"" is not a monolith. ""Women are discouraged from lucrative careers"" and ""men are willing to sacrifice more for their careers because they are judged more harshly on them"" both goes under socialization, but they're extremely different explanations. I don't think there's anyone outside a small minority that argues that socialization plays no role at all.",48,Balanced language. A number of charged qualifiers
OP is arguing that. Or at least that it's not a problem.,97,"Opinion is stated, but not without concession of uncertainty"
"No. OP is arguing that the difference in incomes is not due to discrimination. Which is probably not completely true, but mostly true (maybe 1/5th of the difference being discrimination).",60,Language is clear without seeming aggressive due to consession given.
Maybe it could have something to do with the recent trend of feminists saying computer science is sexist. Who would want to join a profession that would treat them as less. Even if there is no sexism the perception could keep people away.,39,Charged language with question that could be seen as aggressive
So you agree that its not a biological difference.,7,The word 'so' makes this seem like a contentious question
"> Is it possible that new developments in particular fields led women away?

You tell me. We'd need to see a massive shift in the field to explain this. Both my parents were software engineers and I'm a CS PhD. In my opinion, there was no sea change in the 80s in terms of the actual work done by computer scientists and software engineers that justifies a massive change in trends among women in CS. 

You are right that the stats I gave do not necessarily indicate sexism. But they do indicate that the ""men and women are just different"" justification is extremely loose. Even if women aren't discouraged by intentional sexism, culture can still play a big role. A lot of people feel that these cultural forces are a problem. ",20,"Sentences seem explanatory, but extremely loose could be seen as aggressive"
"There is a culture of exclusion in many higher paying fields like tech and science wherein women don't feel like they belong, are equals, etc. to men. And so some elect to enter another field after experiencing this directly, whereas others opt never to enter such fields in the first place and take up lesser paying jobs. 

Sociological forces are at play, is my point. Also, the burden of children is something you shouldn't neglect. There are all sorts of reasons why a child came unplanned into her life, something which had a detrimental impact on her potential job earnings. And if you count the total number of caloric hours of labor undertaken by men and women, women work between 20 to 30 percent more per week than men, on average. Because, yes, child care and home making is labor, albeit unpaid. ",10,Sarcastic tone with an aggressive tone in the last two sentences.
"Because it's what commonly happens. There's what can and what is. 

What is is getting better, but we still have work to do. ",40,Short sentences with a slight air of condescension
"But what is the work that needs done exactly? That is I believe the point of contention. If you say we just need to advocate for cultural shifts, I agree. That is hard to do and not really the purview of the government. If you want specific government action, what specifically would that be? Another equal pay law isn't going to solve anything. ",24,Condescending tone
">Doesn't it also mean the husband choose for his wife to earn less? If a husband and wife want a stay at home parent and decide together in mutual agreement for the wife to quit her job, then the choice for the woman to earn less rests equally on both man and woman in that situation.

Generally, couples opt for one partner to stay home and care for the kids because daycare is *expensive*. For babies, it can be $25,000/year expensive. If you make $40,000/year, that's basically your take-home after taxes. So, unless both partners are high wage earners, it usually makes more economic sense for one to stay home. No one wants to work a full-time job just to pay for someone else to take care of their child.",50,Figures are used with netural language
"So what do you make of that fact that many other countries have much lower aggregate wage gaps than the U.S.? Do they have ""biologically different women""?

Or is it just possible that there are cultural reasons that some countries end up having more or less wage inequality in aggregate than the U.S.?",7,Strawman with charged qualifiers
There would be no reason for feminists to call it sexist unless there was already a difference. It's not they just pick a field at random and start painting signs. ,40,Sacrastic tone about a touchy issue
"I don't know if I would say it's completely not biological, I don't know enough about the differences in brains. But it's definitely more socialization. I've heard there is some country where the vast majority of CS people are women, I can't remember where.",90,Stating an idea with neutral language
"For me is the lack of actual existence, i take the scientific method to heart.

There is currently no way to actual prove his existence, therefore God does not exist.",19,Tone of condescension
So anything which you cannot prove the existence of logically does not exist?,55,so could be seen as accusatory
"yeah, i cannot think of anything which cannot be proven through the scientific method in which i believe.

What would be your argument to that?",55,Neutral language but in context could be seen as a challenge
"Sure, God may exist. But there is simply zero evidence for the existence of any supreme being. 

Thus for you to claim that He must exist is a bit far fetched.

There is zero evidence for an invisible dragon flying over my computer right now. Thus, I can claim that my dragon, based on all evidence, doesn't exist either.  

",11,Touchy subject spoken about with condescending tone
Can you restate that. I think you are saying the opposite of what you intended.,76,Simple netural language
">i cannot think of anything which cannot be proven through the scientific method in which i believe.

How would you go about proving that claim, which you apparently believe, through the scientific method?

How do you measure belief? How do you show that it is the ""I"" that is doing the believing and not some other thing?  How do you, scientifically, show the existence of the ""I"" at all? And having crossed those hurdles, how do you determine that each of your beliefs are scientifically provable?  Is that even possible? Most people have an infinite number of beliefs, how can you confirm, scientifically, that each of your infinite beliefs is scientifically provable?",95,Questions are asked in a professional way
"There are six arguments that I believe make the existence of God more likely (there are far more, the six are just the most well known). 

I am not committing the God of the Gaps fallacy. I am saying that we have strong deductive arguments for the existence of God. None of the arguments I gave end with ""We don't know, therefore God.""",52,Statements are expressed in fairly netural language.
"Do you have any affirmative evidence for God?

Or is this simply you showing a great deal of conformation bias. 

If I stripped the Bible from existence, would you still believe in the Judeo/Christian God?

Just saying that these x arguments mean that God is possible doesn't mean that God as you know him does exist. It just means that it is possible. 
",10,Question is asked with a very accusatory tone
